leader,follower,n_quarters,r,p,same_sector,mean_gap
NOW,V,11,0.6582928686327129,0.02765132305114852,False,6.090909090909091
PANW,ABBV,8,0.6525489610125671,0.07943556474692678,False,6.625
INTC,AMZN,9,0.6519751953217766,0.05705890715083425,False,12.222222222222221
AXP,MS,9,0.6487753623445723,0.05870753048795042,True,5.222222222222222
NVDA,GOOGL,13,0.6418327928767523,0.018034223971010878,True,8.692307692307692
UAL,NVDA,7,0.6416049533802916,0.12034973110130463,False,13.857142857142858
NVDA,AVGO,8,0.6401788028738247,0.08729786620434413,True,7.375
NOW,AXP,11,0.639933535272131,0.033954144108055966,False,7.2727272727272725
JNJ,AAPL,8,0.6370937028664281,0.08932613373242548,False,7.875
BA,C,9,0.629570703532226,0.06923457977381259,False,9.333333333333334
AVGO,AMZN,9,0.6293769247514162,0.06934639528532079,False,7.777777777777778
JPM,NOW,15,0.6280904650266488,0.012165267742036107,False,7.0
LLY,HD,8,0.6274495518277525,0.09584103956379482,False,6.625
DAL,NVDA,15,0.6253129073197693,0.0126696329028877,False,6.8
AMZN,RTX,13,0.6244840286302776,0.02251270056139716,False,7.153846153846154
NVDA,ISRG,8,0.6233630145334641,0.09868158767663215,False,9.25
META,PANW,8,0.6231113680346929,0.09885806633248266,True,5.25
LLY,V,11,0.6211354720930684,0.041383814612377036,False,7.545454545454546
ADBE,JNJ,11,0.619410054951433,0.04211769797312438,False,11.090909090909092
BLK,PG,8,0.6171439856488551,0.10309605678286587,False,8.875
CRM,DAL,9,0.612692840089059,0.079400599373383,False,7.333333333333333
CRM,TSLA,9,0.5990641305355445,0.08824893409616003,False,10.333333333333334
AAPL,GOOGL,12,0.5889536525659852,0.043915325009640044,True,10.416666666666666
PANW,AMZN,11,0.5888961388737026,0.05662456234178995,False,6.2727272727272725
COST,MS,8,0.5872913076223729,0.1258330274242505,False,8.375
GOOGL,INTC,6,0.5831687543391522,0.2244105735130794,True,12.333333333333334
BLK,PANW,8,0.5827495561605704,0.1295172672050581,False,6.375
PG,ABBV,7,0.5804297399363021,0.17185351507825147,False,6.142857142857143
COST,NOW,12,0.5801164163882455,0.04800038429558377,False,7.916666666666667
LLY,MS,7,0.5794536410576171,0.17274943375406046,False,10.428571428571429
TSLA,TMO,7,0.5787151141260835,0.17342881842448518,False,10.142857142857142
WFC,NVDA,11,0.5784965088439917,0.062259127251012174,False,8.272727272727273
AVGO,RTX,13,0.5778414894840433,0.0386095351837864,False,6.538461538461538
MA,META,12,0.5749683520068392,0.05049965215779585,False,7.416666666666667
ABBV,PEP,13,0.5735191820814011,0.040436508317282,False,7.3076923076923075
BLK,AMZN,11,0.5727497716722948,0.06553002362987338,False,5.7272727272727275
PANW,CRM,6,0.5722177052738737,0.2353549512832522,True,10.5
COST,ISRG,13,0.5632321373822989,0.045035174036107455,False,7.384615384615385
WFC,GOOGL,12,0.5580667918433333,0.05934604501573239,False,8.916666666666666
HD,COST,13,0.5554626114158213,0.04874951624939782,True,7.538461538461538
RTX,BA,10,0.5546763231763808,0.09608892283299784,True,8.6
PG,JNJ,10,0.5530517144063167,0.09727288535943444,False,7.4
UAL,GOOGL,10,0.5516379264808248,0.09831071960802183,False,12.5
JPM,MS,10,0.5512424881053688,0.09860225618334409,True,6.6
CRM,NVDA,11,0.5493973487540676,0.080012326074556,True,8.909090909090908
ADBE,NVDA,13,0.5471915628653699,0.05293959853744465,True,8.76923076923077
MSFT,ISRG,8,0.5465260277590266,0.16103189734842466,False,13.875
NOW,COST,8,0.5462341498403986,0.16130118672942098,False,9.5
AAPL,AMZN,9,0.5438812011148315,0.13010267785978297,False,7.555555555555555
COST,JPM,7,0.542793485095049,0.20803970041493294,False,10.714285714285714
TSLA,UNH,8,0.5404839084780464,0.16665632241593936,False,10.5
AVGO,BA,12,0.540000427735507,0.0699361158798299,False,8.416666666666666
LLY,NOW,11,0.5394199066502741,0.08680034543596658,False,8.0
GOOGL,CRM,8,0.536719681577206,0.17021329954609923,True,7.625
AMZN,NOW,11,0.5354565745418932,0.08959914189804086,False,9.454545454545455
ABBV,META,15,0.5350022046347739,0.03988059074799168,False,8.4
AAPL,RTX,9,0.5310982241386467,0.14120722100162975,False,11.333333333333334
GOOGL,ADBE,10,0.5259834105127104,0.11837249053665468,True,7.1
AMZN,MS,9,0.5245041995160794,0.14714550310987387,False,7.444444444444445
TMO,NOW,11,0.5222641893747797,0.09934197506437102,False,10.0
NOW,LLY,9,0.5221996801070394,0.14925464480965978,False,7.555555555555555
ISRG,HD,7,0.5213129053216858,0.23017468422835383,False,6.428571428571429
AMD,MA,10,0.5206923472963646,0.12280361337108485,False,6.1
META,AXP,10,0.5202983469108383,0.1231376379947476,False,6.9
JNJ,RTX,10,0.5185148810161546,0.12465667552240169,False,6.2
MRK,V,10,0.5156927652324566,0.12708401568571745,False,7.9
COST,UBER,9,0.51540293831016,0.1555772341142328,False,9.777777777777779
TMO,BA,8,0.5129403282631343,0.19361937777218236,False,9.5
BLK,TSLA,11,0.5098962472342116,0.10908234536627703,False,9.909090909090908
META,DAL,5,0.5096084992639632,0.38044155726767176,False,6.8
MS,NOW,13,0.5087645451718372,0.07581354129566467,False,8.846153846153847
JNJ,ABBV,6,0.5067771740764743,0.30491028236841616,True,8.166666666666666
